source,target,label,weight,type
doc:30137630a4f3f597,auth:Doña Ana County,,1,
doc:11b8738b682125f6,domain:www.donaana.gov,,1,
doc:11b8738b682125f6,auth:Doña Ana County,,1,
doc:e6064681754b3e5c,domain:www.donaana.gov,,1,
doc:e6064681754b3e5c,auth:Doña Ana County,,1,
doc:81a5b023078a605d,domain:www.donaana.gov,,1,
doc:81a5b023078a605d,auth:Doña Ana County,,1,
doc:df01defd00ea9e35,domain:www.donaana.gov,,1,
doc:df01defd00ea9e35,auth:Doña Ana County,,1,
doc:b18824d573cc49be,domain:www.donaana.gov,,1,
doc:b18824d573cc49be,auth:Doña Ana County,,1,
doc:aec06b58218c2d1d,domain:www.donaana.gov,,1,
doc:aec06b58218c2d1d,auth:Doña Ana County,,1,
doc:64b90fd709ab817a,domain:www.donaana.gov,,1,
doc:64b90fd709ab817a,auth:Doña Ana County,,1,
doc:dddcbde621d407eb,domain:www.donaana.gov,,1,
doc:dddcbde621d407eb,auth:Doña Ana County,,1,
doc:b0f42ec7d6fbb8d5,domain:www.donaana.gov,,1,
doc:b0f42ec7d6fbb8d5,auth:Doña Ana County,,1,
doc:2a913abc3307c172,domain:www.donaana.gov,,1,
doc:2a913abc3307c172,auth:Doña Ana County,,1,
doc:b6752f2357df0941,domain:www.donaana.gov,,1,
doc:b6752f2357df0941,auth:Doña Ana County,,1,
doc:fc606c7f93a03958,domain:www.donaana.gov,,1,
doc:fc606c7f93a03958,auth:Doña Ana County,,1,
doc:0bfec612cdfde51f,domain:www.donaana.gov,,1,
doc:0bfec612cdfde51f,auth:Doña Ana County,,1,
doc:f25ebb319f738229,domain:www.donaana.gov,,1,
doc:f25ebb319f738229,auth:Doña Ana County,,1,
doc:ee9942e9f4a8c8ba,domain:www.donaana.gov,,1,
doc:ee9942e9f4a8c8ba,auth:Doña Ana County,,1,
doc:f4250c845ccbe955,domain:www.donaana.gov,,1,
doc:f4250c845ccbe955,auth:Doña Ana County,,1,
doc:13766a3c93e1bb06,domain:www.donaana.gov,,1,
doc:13766a3c93e1bb06,auth:Doña Ana County,,1,
doc:e22e2339fb0a7b9e,domain:www.donaana.gov,,1,
doc:e22e2339fb0a7b9e,auth:Doña Ana County,,1,
doc:b6b6577841d9b6a1,domain:www.donaana.gov,,1,
doc:b6b6577841d9b6a1,auth:Doña Ana County,,1,
doc:c0ddc7c074882fe4,domain:www.donaana.gov,,1,
doc:c0ddc7c074882fe4,auth:Doña Ana County,,1,
doc:61c791a702f4deb4,domain:www.donaana.gov,,1,
doc:61c791a702f4deb4,auth:Doña Ana County,,1,
doc:11606f35457dac41,domain:www.youtube.com,,1,
doc:a55fd4527657910d,domain:www.donaana.gov,,1,
doc:a55fd4527657910d,auth:Doña Ana County,,1,
doc:064077bf25d23141,domain:nmelc.org,,1,
doc:064077bf25d23141,auth:NMED,,1,
doc:6923b05b8f997491,domain:nmelc.org,,1,
doc:b388005bbcce8531,domain:nmelc.org,,1,
doc:0a770531592caa76,domain:nmelc.org,,1,
doc:c89200e1228f597d,domain:nmelc.org,,1,
doc:c89200e1228f597d,topic:Water,,1,
doc:dde8d610b65d419c,domain:nmelc.org,,1,
doc:ad61a6758cd9dc62,domain:nmelc.org,,1,
doc:ad61a6758cd9dc62,auth:NMED,,1,
doc:aab801c7264df004,domain:nmelc.org,,1,
doc:3e2a01379761553f,domain:nmelc.org,,1,
doc:28cfb8d411771407,domain:nmelc.org,,1,
doc:28cfb8d411771407,auth:NMED,,1,
doc:e584e784bb591292,domain:nmelc.org,,1,
doc:cd8afbe1c9ed188a,domain:nmelc.org,,1,
doc:dfca45116ff70d7a,domain:nmelc.org,,1,
doc:57008bf7449ac577,domain:nmelc.org,,1,
doc:9766036a3df23ac9,domain:nmelc.org,,1,
doc:71c323afde6cdbbe,domain:nmelc.org,,1,
doc:6ef1987069e9b39b,domain:nmelc.org,,1,
doc:d51eefaa04c11ba3,domain:nmelc.org,,1,
doc:020f33d5cb285188,domain:nmelc.org,,1,
doc:7a7f19abf3c3bcf7,domain:nmelc.org,,1,
doc:19a38690e9796411,domain:nmelc.org,,1,
doc:478d5e34e5c88130,domain:nmelc.org,,1,
doc:cec8e55267c92d6b,domain:nmelc.org,,1,
doc:33b35d9c5889946a,domain:nmelc.org,,1,
doc:df291ed65517179c,domain:nmelc.org,,1,
doc:df291ed65517179c,auth:NMED,,1,
doc:cebbf78ffdfddebe,domain:nmelc.org,,1,
doc:cebbf78ffdfddebe,auth:NMED,,1,
doc:63b73cde76c9c0b0,domain:nmelc.org,,1,
doc:63b73cde76c9c0b0,auth:NMED,,1,
doc:de6c31fdfde8f63a,domain:nmelc.org,,1,
doc:de6c31fdfde8f63a,auth:NMED,,1,
doc:9946ce4a0734508f,domain:nmelc.org,,1,
doc:a65932fd12759020,domain:nmelc.org,,1,
doc:2a03787372f28a47,domain:nmelc.org,,1,
doc:4dd2456cb63ad26d,domain:nmelc.org,,1,
doc:c07e6300eac588c5,domain:nmelc.org,,1,
doc:09c2917ce043969e,domain:kfoxtv.com,,1,
doc:c831e216fc0b9a69,domain:kfoxtv.com,,1,
doc:5d3fb706aa0960e5,domain:kfoxtv.com,,1,
doc:8f14edaf7e84d0f1,domain:kfoxtv.com,,1,
doc:469b4a9f5a35b5fd,domain:kfoxtv.com,,1,
doc:5c80396f537ce1fe,domain:kfoxtv.com,,1,
doc:5ddcc37da001821d,domain:kfoxtv.com,,1,
doc:d4c73db43b80c790,domain:kfoxtv.com,,1,
doc:cc98e6ae73888258,domain:kfoxtv.com,,1,
doc:9d1b2b1986031ec5,domain:kfoxtv.com,,1,
doc:e65a3a9b9baca0be,domain:kfoxtv.com,,1,
doc:a897cbc562acd53d,domain:kfoxtv.com,,1,
doc:d9c72607331d2acb,domain:kfoxtv.com,,1,
doc:b51f8024e6e4b8c3,domain:kfoxtv.com,,1,
doc:aee4950be802164d,domain:kfoxtv.com,,1,
doc:8bea825352c07844,domain:kfoxtv.com,,1,
doc:7931798ba11c064e,domain:kfoxtv.com,,1,
